CIK,Period,Date,DateID,TotalRevenue (millions USD),SubscriptionRevenue (millions USD),ProfessionalServicesRevenue (millions USD),Revenue_Americas (millions USD),Revenue_Europe (millions USD),Revenue_APAC (millions USD),CostOfRevenue (millions USD),CostOfSubscriptionRevenue (millions USD),OperatingIncome (millions USD),NetIncome (millions USD),OperatingCashFlow (millions USD),UnearnedRevenue (millions USD),TotalRPO (millions USD),CurrentRPO (millions USD),NonCurrentRPO (millions USD),StockBasedCompensation (millions USD),RD_Expense (millions USD),SM_Expense (millions USD),GA_Expense (millions USD)
1108524,FY2025,2025-01-31,20250131,37895.0,35679.0,2216.0,25143.0,8891.0,3861.0,8643.0,6198.0,7205.0,6197.0,13092.0,20743.0,63400.0,30200.0,33200.0,3183.0,5493.0,13257.0,2836.0
1108524,FY2024,2024-01-31,20240131,34857.0,32537.0,2320.0,23289.0,8128.0,3440.0,8541.0,6177.0,5011.0,4136.0,10234.0,19003.0,56900.0,27600.0,29300.0,2787.0,4906.0,12877.0,2534.0
1108524,FY2023,2023-01-31,20230131,31352.0,29021.0,2331.0,21250.0,7163.0,2939.0,8360.0,5821.0,1030.0,208.0,7111.0,17376.0,48600.0,24600.0,24000.0,3279.0,5055.0,13526.0,2553.0
